wavelength (nm),refractive index
411.6,1.46892
411.8,1.4689
412,1.46888
412.2,1.46886
412.4,1.46884
412.6,1.46882
412.8,1.46881
413,1.46879
413.2,1.46877
413.4,1.46875
413.6,1.46873
413.8,1.46871
414,1.46869
414.2,1.46867
414.4,1.46865
414.6,1.46863
414.8,1.46861
415,1.46859
415.2,1.46857
415.4,1.46855
415.6,1.46854
415.8,1.46852
416,1.4685
416.2,1.46848
416.4,1.46846
416.6,1.46844
416.8,1.46842
417,1.4684
417.2,1.46838
417.4,1.46836
417.6,1.46835
417.8,1.46833
418,1.46831
418.2,1.46829
418.4,1.46827
418.6,1.46825
418.8,1.46823
419,1.46821
419.2,1.46819
419.4,1.46818
419.6,1.46816
419.8,1.46814
420,1.46812
420.2,1.4681
420.4,1.46808
420.6,1.46806
420.8,1.46804
421,1.46803
421.2,1.46801
421.4,1.46799
421.6,1.46797
421.8,1.46795
422,1.46793
422.2,1.46791
422.4,1.4679
422.6,1.46788
422.8,1.46786
423,1.46784
423.2,1.46782
423.4,1.4678
423.6,1.46779
423.8,1.46777
424,1.46775
424.2,1.46773
424.4,1.46771
424.6,1.46769
424.8,1.46768
425,1.46766
425.2,1.46764
425.4,1.46762
425.6,1.4676
425.8,1.46758
426,1.46757
426.2,1.46755
426.4,1.46753
426.6,1.46751
426.8,1.46749
427,1.46747
427.2,1.46746
427.4,1.46744
427.6,1.46742
427.8,1.4674
428,1.46738
428.2,1.46737
428.4,1.46735
428.6,1.46733
428.8,1.46731
429,1.46729
429.2,1.46728
429.4,1.46726
429.6,1.46724
429.8,1.46722
430,1.4672
430.2,1.46719
430.4,1.46717
430.6,1.46715
430.8,1.46713
431,1.46712
431.2,1.4671
431.4,1.46708
431.6,1.46706
431.8,1.46704
432,1.46703
432.2,1.46701
432.4,1.46699
432.6,1.46697
432.8,1.46696
433,1.46694
433.2,1.46692
433.4,1.4669
433.6,1.46689
433.8,1.46687
434,1.46685
434.2,1.46683
434.4,1.46682
434.6,1.4668
434.8,1.46678
435,1.46676
435.2,1.46675
435.4,1.46673
435.6,1.46671
435.8,1.46669
436,1.46668
436.2,1.46666
436.4,1.46664
436.6,1.46663
436.8,1.46661
437,1.4666
437.2,1.46658
437.4,1.46656
437.6,1.46655
437.8,1.46653
438,1.46652
438.2,1.4665
438.4,1.46648
438.6,1.46647
438.8,1.46645
439,1.46644
439.2,1.46642
439.4,1.46641
439.6,1.46639
439.8,1.46637
440,1.46636
440.2,1.46634
440.4,1.46633
440.6,1.46631
440.8,1.46629
441,1.46628
441.2,1.46626
441.4,1.46625
441.6,1.46623
441.8,1.46622
442,1.4662
442.2,1.46618
442.4,1.46617
442.6,1.46615
442.8,1.46614
443,1.46612
443.2,1.46611
443.4,1.46609
443.6,1.46608
443.8,1.46606
444,1.46604
444.2,1.46603
444.4,1.46601
444.6,1.466
444.8,1.46598
445,1.46597
445.2,1.46595
445.4,1.46594
445.6,1.46592
445.8,1.46591
446,1.46589
446.2,1.46587
446.4,1.46586
446.6,1.46584
446.8,1.46583
447,1.46581
447.2,1.4658
447.4,1.46578
447.6,1.46577
447.8,1.46575
448,1.46574
448.2,1.46572
448.4,1.46571
448.6,1.46569
448.8,1.46568
449,1.46566
449.2,1.46565
449.4,1.46563
449.6,1.46562
449.8,1.4656
450,1.46559
450.2,1.46557
450.4,1.46556
450.6,1.46554
450.8,1.46553
451,1.46551
451.2,1.46549
451.4,1.46548
451.6,1.46546
451.8,1.46545
452,1.46543
452.2,1.46542
452.4,1.46541
452.6,1.46539
452.8,1.46538
453,1.46536
453.2,1.46535
453.4,1.46533
453.6,1.46532
453.8,1.4653
454,1.46529
454.2,1.46527
454.4,1.46526
454.6,1.46524
454.8,1.46523
455,1.46521
455.2,1.4652
455.4,1.46518
455.6,1.46517
455.8,1.46515
456,1.46514
456.2,1.46512
456.4,1.46511
456.6,1.46509
456.8,1.46508
457,1.46506
457.2,1.46505
457.4,1.46504
457.6,1.46502
457.8,1.46501
458,1.46499
